mode,version,seed,split_label,observe_cost,test_type,level,policy_net,always_try_net,always_observe_net,oracle_selective_net,delta_vs_always_observe,delta_vs_always_try,gap_to_oracle_selective,observe_rate,sign_correct_rate,false_observe_rate,false_direct_rate,positive_net_rate,exact_signature_determinism_rate,single_cue_max_predictiveness,cue_pair_max_predictiveness,train_pair_coverage,hidden_h_probe_from_pre_surface_accuracy
mode_A_fixed_split_fresh_seeds,structured,141,fixed_split_3985,0.05,A,level2,0.72542,0.72542,0.69452,0.8239814875,0.030899999999999928,0.0,0.09856148750000004,0.0,0.523125,0.0,0.476875,0.476875,0.0,0.61878125,0.744375,1.0,0.595453125
mode_A_fixed_split_fresh_seeds,structured,141,fixed_split_3985,0.05,A,level3,0.72542,0.72542,0.69452,0.8239814875,0.030899999999999928,0.0,0.09856148750000004,0.0,0.523125,0.0,0.476875,0.476875,0.0,0.61878125,0.744375,1.0,0.595453125
mode_A_fixed_split_fresh_seeds,structured,141,fixed_split_3985,0.05,B,level1,0.7210325,0.7210325,0.6704324999999999,0.8184774149999999,0.05060000000000009,0.0,0.09744491499999997,0.0,0.5565,0.0,0.4435,0.4435,0.0,0.61878125,0.744375,1.0,0.595453125
mode_A_fixed_split_fresh_seeds,structured,141,fixed_split_3985,0.05,B,level2,0.7210325,0.7210325,0.6704324999999999,0.8184774149999999,0.05060000000000009,0.0,0.09744491499999997,0.0,0.5565,0.0,0.4435,0.4435,0.0,0.61878125,0.744375,1.0,0.595453125
mode_A_fixed_split_fresh_seeds,structured,141,fixed_split_3985,0.05,B,level3,0.7210325,0.7210325,0.6704324999999999,0.8184774149999999,0.05060000000000009,0.0,0.09744491499999997,0.0,0.5565,0.0,0.4435,0.4435,0.0,0.61878125,0.744375,1.0,0.595453125
mode_A_fixed_split_fresh_seeds,structured,141,fixed_split_3985,0.07,A,level1,0.72542,0.72542,0.67452,0.8144439874999999,0.050899999999999945,0.0,0.08902398749999996,0.0,0.523125,0.0,0.476875,0.476875,0.0,0.61878125,0.744375,1.0,0.595453125
mode_A_fixed_split_fresh_seeds,structured,141,fixed_split_3985,0.07,A,level2,0.72542,0.72542,0.67452,0.8144439874999999,0.050899999999999945,0.0,0.08902398749999996,0.0,0.523125,0.0,0.476875,0.476875,0.0,0.61878125,0.744375,1.0,0.595453125
mode_A_fixed_split_fresh_seeds,structured,141,fixed_split_3985,0.07,A,level3,0.72542,0.72542,0.67452,0.8144439874999999,0.050899999999999945,0.0,0.08902398749999996,0.0,0.523125,0.0,0.476875,0.476875,0.0,0.61878125,0.744375,1.0,0.595453125
mode_A_fixed_split_fresh_seeds,structured,141,fixed_split_3985,0.07,B,level1,0.7210325,0.7210325,0.6504325,0.809607415,0.0706,0.0,0.08857491500000003,0.0,0.5565,0.0,0.4435,0.4435,0.0,0.61878125,0.744375,1.0,0.595453125
mode_A_fixed_split_fresh_seeds,structured,141,fixed_split_3985,0.07,B,level2,0.7210325,0.7210325,0.6504325,0.809607415,0.0706,0.0,0.08857491500000003,0.0,0.5565,0.0,0.4435,0.4435,0.0,0.61878125,0.744375,1.0,0.595453125
